aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
"Alighieri, Dante",No hay datos,http://viaf.org/viaf/97105654,La divina comedia.,ita,Italiano,9974775337,Montevideo,Ediciones Cruz del Sur,2003,No hay datos,Fuente del dato Ciudad no oficial
"Martins, Cyro",No hay datos,http://viaf.org/viaf/79068972,El príncipe de la villa / traducción y prólogo de Pablo Rocca ; síntesis biobibliográfica Carlos Appel.,por,Portugués,9974102811,Montevideo,Ediciones de Banda Oriental,2003,"Rocca, Pablo ",Se añadió dato traductor. Fuente: BN campo Título. 
"Tranströmer, Tomás",No hay datos,http://viaf.org/viaf/84082847,29 jaicus y otros poemas = 29 haiku och andra diker / Tomás Tranströmer ; versión castellana y prólogo de Roberto Mascaró.,Sueco,Sueco,9974768128,Montevideo,Ediciones Imaginarias,2003,"Mascaró, Roberto",Se rectificó lengua fuente de alemán a sueco./  Se añadió dato traductor. Fuente: BN campo Título y catálogo de la Biblioteca del Poder Legislativo. 
"Woolf, Virginia",No hay datos,http://viaf.org/viaf/39385478,Flush : una biografía / prólogo de Rosario Peyrou.,eng,Inglés,9974103010,Montevideo,Ediciones de Banda Oriental,2003,No hay datos,No hay datos
"Conrad, Joseph",No hay datos,http://viaf.org/viaf/73862853,Tifón : relato / Joseph Conrad ; prólogo Milton Fornaro.,eng,Inglés,9974102936,Montevideo,Ediciones de Banda Oriental,2003,No hay datos,No hay datos
"Bradley, A. C.",No hay datos,http://viaf.org/viaf/51737969,Introducción a la tragedia,eng,Inglés,No hay datos,Montevideo,Editorial Técnica,2003,"Vázquez Artigas, Mary",Es manual de estudio./ Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo. 
"Tolstoï, Sacha","Tolstoi, Sacha",http://viaf.org/viaf/165931059,Más allá del océano : relato de un europeo emigrado al Uruguay,fre,Francés,9974559359,Montevideo,No hay datos,2003,"Duprey, Jacques-André",Se añadió dato traductor. Fuente: catálogo de la Biblioteca del Poder Legislativo. 
"Alves-Bezerra, Wilson",No hay datos,http://viaf.org/viaf/68152079162107111520,Reverberaciones de la frontera en Horacio Quiroga / Wilson Alves-Bezerra; traducción Emilia Spahn,por,Portugués,9789915404929,Montevideo,+Quiroga Ediciones,2021,"Spahn, Emilia",Se añadió dato traductor. Fuente: BN campo Título.
"Chekhov, Anton Pavlovich","Chejov, Anton Pavlovich",http://viaf.org/viaf/95216565,La sala número seis y otros cuentos / Antón Chejov.,rus,Ruso,9974103541,Montevideo,Ediciones de Banda Oriental,2004,No hay datos,Se añadió dato traductor. Fuente: BN campo Valor.
"Ekström, Tomas",No hay datos,http://viaf.org/viaf/78756461,"Elvis, arena para el gato y otras cosas importantes / versión castellana y prólogo de Roberto Mascaró.",Sueco,Sueco,9974768144,Montevideo,Ediciones Imaginarias,2004,"Mascaró, Roberto",Se rectificó lengua fuente de alemán a sueco./ Se añadió dato traductor. Fuente: BN campo Título y  catálogo de la Biblioteca del Poder Legislativo. 
